etax_id	invoice_name	invoice_origin	deposit	amount_untaxed	sent_tax_basis	should_tax_basis
13777	IV260600002	SO-26060007	1500	1500.00	0.00	1500.00
13778	IV260600003	SO-26060009	1495.33	1495.33	0.00	1495.33
13781	IV260600004	SO-26060008	1300.93	1300.93	0.00	1300.93
13782	IV260600005	SO-26060006	390.65	390.65	0.00	390.65
13784	IV260600007	SO-26050619	306.53999999999996	306.54	0.00	306.54
13787	IV260600008	SO-26060046	25023	25023.00	0.00	25023.00
13789	IV260600010	SO-0237975	50967.5	50967.50	0.00	50967.50
13790	IV260600011	SO-26060001	1786.92	1786.92	0.00	1786.92
13791	IV260600012	SO-26050627	45.8	886.92	841.12	886.92
13792	IV260600013	SO-26050639	1289.72	1289.72	0.00	1289.72
13793	IV260600014	SO-26050636	1188.79	1188.79	0.00	1188.79
13795	IV260600016	SO-26050615	738.32	738.32	0.00	738.32
13796	IV260600017	SO-26050626	738.32	738.32	0.00	738.32
13797	IV260600018	SO-26050629	1769.16	1769.16	0.00	1769.16
13798	IV260600019	SO-26060053	971.03	971.03	0.00	971.03
13799	IV260600020	SO-26060002	738.32	738.32	0.00	738.32
13800	IV260600021	SO-26060042	13591	13591.00	0.00	13591.00
13801	IV260600022	SO-26060054	1434.5800000000002	1434.58	0.00	1434.58
13802	IV260600023	SO-26060026	17541.58	17541.58	0.00	17541.58
13803	IV260600024	SO-26060025	2502.05	2502.05	0.00	2502.05
13804	IV260600025	SO-26060022	14631.560000000001	14631.56	0.00	14631.56
13805	IV260600026	SO-26060020	37449.24	37449.24	0.00	37449.24
13806	IV260600027	SO-26060019	17976.7	17976.70	0.00	17976.70
13807	IV260600028	SO-26060017	4072.64	4072.64	0.00	4072.64
13808	IV260600029	SO-26060016	4011.44	4011.44	0.00	4011.44
13809	IV260600030	SO-26060015	24435.84	24435.84	0.00	24435.84
13810	IV260600031	SO-26060014	3222.78	3222.78	0.00	3222.78
13811	IV260600032	SO-26060013	1060.65	1060.65	0.00	1060.65
13812	IV260600033	SO-26060011	2032.92	2032.92	0.00	2032.92
13813	IV260600034	SO-26060041	1556.99	1556.99	0.00	1556.99
13814	IV260600035	SO-26060051	6785.48	6785.48	0.00	6785.48
13815	IV260600036	SO-26060040	1556.99	1556.99	0.00	1556.99
13816	IV260600037	SO-26060032	1098.13	1098.13	0.00	1098.13
13817	IV260600038	SO-26060033	3023.36	3023.36	0.00	3023.36
13818	IV260600039	SO-26060012	1056.08	1056.08	0.00	1056.08
13819	IV260600040	SO-26060029	841.12	841.12	0.00	841.12
13820	IV260600041	SO-26050628	1322.43	1322.43	0.00	1322.43
13821	IV260600042	SO-26050634	2612.14	2612.14	0.00	2612.14
13822	IV260600043	SO-26050638	559.81	559.81	0.00	559.81
13823	IV260600044	SO-26050637	1868.22	1868.22	0.00	1868.22
13824	IV260600045	SO-26060004	8079.4400000000005	8079.44	0.00	8079.44
13825	IV260600046	SO-26050631	7000	7000.00	0.00	7000.00
13826	IV260600047	SO-26060048	531.78	531.78	0.00	531.78
13827	IV260600048	SO-26060050	1434.5800000000002	1434.58	0.00	1434.58
13828	IV260600049	SO-26060018	1859.8100000000002	1859.81	0.00	1859.81
13829	IV260600050	SO-26060047	971.03	971.03	0.00	971.03
13830	IV260600051	SO-26060049	327.09999999999997	327.10	0.00	327.10
13831	IV260600052	SO-26060030	233.64999999999998	233.65	0.00	233.65
13833	IV260600054	SO-26060043	12989.1	12989.10	0.00	12989.10
13834	IV260600055	SO-26060068	957.94	957.94	0.00	957.94
