etax_id	invoice_name	invoice_origin	deposit	amount_untaxed	sent_tax_basis	should_tax_basis
19159	IV260601336	SO-26061713	140.19	3392.53	3252.34	3392.53
19160	IV260601337	SO-26061697	140.19	4429.91	4289.72	4429.91
19161	IV260601338	SO-26061698	93.46	1467.29	1373.83	1467.29
19162	IV260601339	SO-26061699	93.46	831.78	738.32	831.78
19163	IV260601340	SO-26061714	45.8	1129.90	1084.10	1129.90
19164	IV260601341	SO-26061696	51.4	2668.22	2616.82	2668.22
19165	IV260601342	SO-26061700	51.4	1154.21	1102.81	1154.21
19166	IV260601343	SO-26061701	46.73	1330.84	1284.11	1330.84
19167	IV260601344	SO-26061499	140.19	8121.50	7981.31	8121.50
19168	IV260601346	SO-26061507	93.46	1654.21	1560.75	1654.21
19171	IV260601348	SO-26061603	93.45	1559.81	1466.36	1559.81
19173	IV260601349	SO-26061609	140.19	6299.07	6158.88	6299.07
19174	IV260601350	SO-26061613	186.92	4672.90	4485.98	4672.90
19175	IV260601351	SO-26061677	93.46	831.78	738.32	831.78
19176	IV260601352	SO-26061707	140.19	6981.31	6841.12	6981.31
19177	IV260601355	SO-26061748	121.5	4214.96	4093.46	4214.96
19179	IV260601356	SO-26061214	3675	8575.00	4900.00	8575.00
19180	IV260601357	SO-26061749	46.74	747.66	700.92	747.66
19181	IV260601358	SO-26061736	46.73	598.13	551.40	598.13
19182	IV260601359	SO-26061733	140.18	3392.52	3252.34	3392.52
19183	IV260601360	SO-26061747	51.41	1999.06	1947.65	1999.06
19184	IV260601361	SO-26061738	46.73	383.18	336.45	383.18
19185	IV260601362	SO-26061743	140.19	2523.36	2383.17	2523.36
19186	IV260601363	SO-26061740	93.45	1943.93	1850.48	1943.93
19187	IV260601364	SO-26061746	280.38	1859.81	1579.43	1859.81
